Date,Open,High,Low,Close,Adjusted_close,Volume
2022-12-24,1.0000129979,1.0002339329,0.999917695,1.0000461797,1.0000461797,915340746
2022-12-25,1.0000293671,1.0002153045,0.9997551945,1.0000823125,1.0000823125,1380163674
2022-12-26,1.0001097101,1.0001960864,0.9998540292,1.0001027859,1.0001027859,1442718612
2022-12-27,1.0001036083,1.0002722413,0.999697949,1.0001687711,1.0001687711,1696141537
2022-12-28,1.0001275175,1.0002443502,0.9997706419,1.0001851921,1.0001851921,2210122747
2022-12-29,1.0001565627,1.0003311891,0.9997828525,1.0001384377,1.0001384377,1972864413
2022-12-30,1.0001016663,1.0002956926,0.9998519194,1.0001208866,1.0001208866,1879667314
2022-12-31,1.000196047,1.0003410496,0.9998770287,1.0000285996,1.0000285996,1329559200
2023-01-01,1.0000221275,1.0003623683,0.9998542078,0.9999932734,0.9999932734,1197927576
2023-01-02,1.0000140923,1.000216644,0.999848455,0.9999886989,0.9999886989,1562545140
2023-01-03,1.000009539,1.0002514014,0.9997089764,1.0000981088,1.0000981088,2006189065
2023-01-04,1.0001090261,1.0003017345,0.9997380507,1.0000035978,1.0000035978,2402538600
2023-01-05,1.0000112591,1.0002165403,0.9998055117,1.000020564,1.000020564,2080129330
2023-01-06,1.0000080859,1.0003429748,0.9997960604,1.0000127356,1.0000127356,2361812755
2023-01-07,1.0000145765,1.0003274044,0.9998776273,0.9999819088,0.9999819088,1570732742
2023-01-08,0.9999453689,1.0003637545,0.9998327352,1.0001961164,1.0001961164,1788498969
2023-01-09,1.0002375128,1.0003584478,0.9995876122,1.0000461006,1.0000461006,3646138496
2023-01-10,1.0000046549,1.0002347241,0.9997058409,0.9999874673,0.9999874673,2630571530
2023-01-11,1.0000078865,1.0003844194,0.9997021738,1.0001315675,1.0001315675,2801305360
2023-01-12,1.000114614,1.0004469175,0.9992766335,1.0000721496,1.0000721496,4571366092
2023-01-13,1.0000807124,1.0005384291,0.9996056127,1.0002467555,1.0002467555,3509707746
2023-01-14,1.0001807789,1.0007850098,0.9993901055,1.0000837939,1.0000837939,4297415658
2023-01-15,1.0001052459,1.000313077,0.9995454716,0.9999262052,0.9999262052,2635965361
2023-01-16,0.9998996473,1.0004949277,0.9996269089,0.9999616359,0.9999616359,2899726940
2023-01-17,1.0000082143,1.0003578637,0.9996184035,0.9998101268,0.9998101268,2965132328
2023-01-18,0.9998081742,1.0006840245,0.9993915478,0.9998447964,0.9998447964,4209476194
2023-01-19,0.9997963725,1.0003080212,0.9997432893,1.0000240661,1.0000240661,3098920631
2023-01-20,1.0000416162,1.0006806853,0.9996666011,1.0002654042,1.0002654042,3444375885
2023-01-21,1.000298291,1.0005046216,0.9991431729,0.9998404762,0.9998404762,3742948234
2023-01-22,0.9998605261,1.0003855003,0.9994306915,0.999976225,0.999976225,3227947507
2023-01-23,0.9998365941,1.0004258998,0.9994233676,0.9998580394,0.9998580394,3419783936
2023-01-24,0.9998259186,1.0003212036,0.9990892893,0.9999581854,0.9999581854,3576076257
2023-01-25,0.9999327359,1.0005062022,0.9995004483,1.0000623988,1.0000623988,4154869647
2023-01-26,1.0000285465,1.0003386924,0.9996284469,0.9999601858,0.9999601858,3258930502
2023-01-27,0.9999798033,1.0003878725,0.9995799721,1.0000265842,1.0000265842,3615689955
2023-01-28,0.9999816199,1.0002646238,0.9996351453,1.0001297874,1.0001297874,2554816547
2023-01-29,1.0001135747,1.0003929436,0.9996547688,1.0000010326,1.0000010326,2963258500
2023-01-30,1.0000747593,1.0003334967,0.9995034196,1.0001009658,1.0001009658,3562976035
2023-01-31,1.0000206699,1.0004307564,0.9996504586,1.0000580659,1.0000580659,2960609713
2023-02-01,1.0000171123,1.0007714077,0.9995247442,1.0001497227,1.0001497227,3454788463
2023-02-02,1.0000867912,1.0004553319,0.9993697274,0.9997748367,0.9997748367,4233203635
2023-02-03,0.9997885704,1.0004932911,0.9996647253,1.0000353097,1.0000353097,3432403396
2023-02-04,0.999980667,1.0002921906,0.9996690697,0.9999205015,0.9999205015,2476218901
2023-02-05,0.9998843093,1.0003066514,0.9991760691,0.9999543539,0.9999543539,2929555475
2023-02-06,0.9999598578,1.0004585197,0.999501004,0.99992849,0.99992849,3098238993
2023-02-07,0.9998388997,1.0003200023,0.9994771624,0.9999933068,0.9999933068,3694028407
2023-02-08,1.0000113049,1.0002765641,0.9995309137,1.0000120932,1.0000120932,3602936283
2023-02-09,1.0000235445,1.0005024025,0.9994622048,1.0001224165,1.0001224165,4476731490
2023-02-10,1.0001160004,1.0003837127,0.9995007638,1.0000314992,1.0000314992,3672886124
2023-02-11,1.000004946,1.0002957792,0.9995841905,0.9999765783,0.9999765783,2420063116
2023-02-12,0.9999782864,1.0004567266,0.9995884925,1.0000657114,1.0000657114,2523403098
2023-02-13,1.0001335583,1.0003875568,0.9994304659,1.0000947324,1.0000947324,4929525447
2023-02-14,1.0001117729,1.0005343277,0.9995618874,1.000056505,1.000056505,4219254344
2023-02-15,1.0000663668,1.0005032771,0.9996439028,1.0000710572,1.0000710572,4265639806
2023-02-16,1.0000113625,1.0004360536,0.9994785577,0.9998579018,0.9998579018,5620785014
2023-02-17,0.9998310545,1.0004906517,0.9995662223,0.9999346777,0.9999346777,4696979332
2023-02-18,0.9999837312,1.0003058224,0.9997237716,0.9998872732,0.9998872732,2724755647
2023-02-19,0.9999802854,1.0002892273,0.9994668053,0.9998966758,0.9998966758,3217361040
2023-02-20,0.9999618618,1.0003213023,0.9994736142,1.0001430132,1.0001430132,3456245956
2023-02-21,1.0001214338,1.0002095218,0.9995134985,1.0000640104,1.0000640104,4145675499
2023-02-22,1.0000966376,1.0003875715,0.9995895369,1.0001453851,1.0001453851,4388750217
2023-02-23,1.0001533307,1.0004364858,0.9995168764,1.0000831995,1.0000831995,4056250193
2023-02-24,1.0000763918,1.0003340561,0.9994306464,1.0000448155,1.0000448155,4261268706
2023-02-25,1.0000558917,1.0002865013,0.9996658664,1.0002865013,1.0002865013,2686817523
2023-02-26,1.0001135805,1.0003082172,0.9996787544,1.0001357487,1.0001357487,2507543870
2023-02-27,1.0001252188,1.0004657927,0.999631233,1.0000745701,1.0000745701,3267016287
2023-02-28,1.0000801476,1.0002550696,0.9995789536,0.9998758465,0.9998758465,3109767982
