Date,Open,High,Low,Close,Adjusted_close,Volume
2019-04-29,0.00433873,0.00434105,0.00347771,0.00352275,0.00352275,7250984
2019-04-30,0.00347092,0.00504412,0.00347092,0.00448681,0.00448681,23830727
2019-05-01,0.00448811,0.00468503,0.00409854,0.00441393,0.00441393,10844569
2019-05-02,0.00436494,0.00471026,0.00411149,0.00424416,0.00424416,6496810
2019-05-03,0.00420219,0.00441304,0.0039699,0.00428175,0.00428175,5825373
2019-05-04,0.00428186,0.00428339,0.0038562,0.00398894,0.00398894,3112774
2019-05-05,0.00398911,0.00408435,0.00362123,0.00376466,0.00376466,3418509
2019-05-06,0.00375553,0.00393905,0.00353336,0.00375441,0.00375441,4703713
2019-05-07,0.00378753,0.00387739,0.00336124,0.00336124,0.00336124,3573187
2019-05-08,0.00339668,0.00348981,0.00328634,0.00336817,0.00336817,2921546
2019-05-09,0.00335879,0.00338961,0.00302725,0.00315632,0.00315632,4546421
2019-05-10,0.00314954,0.00389961,0.00311018,0.00378287,0.00378287,9116516
2019-05-11,0.00382109,0.00491716,0.00376329,0.00466297,0.00466297,12862452
2019-05-12,0.00465708,0.00569655,0.00450234,0.00527515,0.00527515,18436356
2019-05-13,0.00532958,0.00886879,0.00518104,0.008687,0.008687,83766141
2019-05-14,0.00863443,0.01109532,0.00731985,0.00781673,0.00781673,81088858
2019-05-15,0.00781993,0.00995977,0.00560622,0.0095938,0.0095938,52126283
2019-05-16,0.00957461,0.01198148,0.0083713,0.01100325,0.01100325,64160972
2019-05-17,0.01087811,0.01517471,0.00944946,0.01447362,0.01447362,187106597
2019-05-18,0.01450249,0.01480806,0.0121104,0.01228329,0.01228329,53175195
2019-05-19,0.01233253,0.02061131,0.01233253,0.02033971,0.02033971,161576561
2019-05-20,0.02028041,0.03294132,0.01889378,0.02975556,0.02975556,446029566
2019-05-21,0.02985654,0.04493734,0.0258263,0.0294067,0.0294067,575569561
2019-05-22,0.02967591,0.03127789,0.02071864,0.0221411,0.0221411,244895072
2019-05-23,0.0221897,0.03379994,0.02204853,0.02733432,0.02733432,392314379
2019-05-24,0.02741533,0.02851313,0.02316287,0.02551351,0.02551351,151831590
2019-05-25,0.02553812,0.02810884,0.0233171,0.02488424,0.02488424,142026622
